iter	RMSE
0	3885.441327
1	3740.424842
2	3600.092072
3	3465.17377
4	3336.175541
5	3211.48247
6	3092.818975
7	2979.28049
8	2869.6627
9	2765.243278
10	2666.397904
11	2569.770658
12	2477.658843
13	2389.007395
14	2304.098317
15	2222.67561
16	2144.298712
17	2069.193963
18	1996.632761
19	1928.754368
20	1863.22289
21	1801.129966
22	1741.456736
23	1683.568779
24	1627.837733
25	1575.357187
26	1525.089997
27	1476.999088
28	1430.786717
29	1387.251995
30	1344.939829
31	1304.709489
32	1266.885177
33	1229.972358
34	1195.573748
35	1162.339311
36	1131.428038
37	1101.283258
38	1073.078397
39	1045.637818
40	1020.278743
41	995.270422
42	972.1568247
43	950.0069749
44	929.2925217
45	909.5637844
46	891.1385967
47	873.1288021
48	856.2264796
49	840.3989005
50	825.4287545
51	811.0449616
52	797.2806021
53	784.6308211
54	772.9262589
55	761.6809995
56	750.9679034
57	740.7476073
58	731.1714214
59	722.2010881
60	713.8600455
61	705.6989694
62	698.183916
63	691.1161482
64	684.4120696
65	677.929357
66	672.0639649
67	666.2834968
68	660.9879485
69	656.2406511
70	651.6873517
71	647.4431051
72	643.23412
73	639.2820748
74	635.6188771
75	632.1499713
76	628.8639486
77	625.7428499
78	622.8968951
79	620.2253537
80	617.6417327
81	615.2205923
82	612.9569276
83	610.9023759
84	609.0360601
85	607.1259416
86	605.3052956
87	603.522767
88	601.9592072
89	600.495833
90	599.042841
91	597.6858456
92	596.434125
93	595.1660576
94	594.0756666
95	593.0074909
96	591.9532402
97	590.9402663
98	590.105977
99	589.1815583
100	588.3599767
101	587.5711006
102	586.8612111
103	586.1738065
104	585.4146645
105	584.7022163
106	584.0652343
107	583.453761
108	582.9032435
109	582.3693751
110	581.8467051
111	581.3481971
112	580.8795013
113	580.4316826
114	579.9612599
115	579.5036807
116	579.0681072
117	578.6344259
118	578.2450595
119	577.8812685
120	577.5619576
121	577.2226575
122	576.8522776
123	576.5166563
124	576.1317137
125	575.7954796
126	575.4881162
127	575.1546135
128	574.8642843
129	574.6362849
130	574.3738015
131	574.1507529
132	573.9166513
133	573.6798948
134	573.4047538
135	573.1780324
136	572.9457797
137	572.7232398
138	572.5050178
139	572.3314955
140	572.1789829
141	571.9429135
142	571.7308716
143	571.5992094
144	571.4500813
145	571.2595649
146	571.0652208
147	570.8799119
148	570.7528186
149	570.5444433
150	570.3973555
151	570.23315
152	570.097433
153	569.928983
154	569.7939165
155	569.6505312
156	569.5402853
157	569.4176563
158	569.2122911
159	569.0277959
160	568.8851873
161	568.7326635
162	568.6068521
163	568.430508
164	568.3019271
165	568.1877317
166	568.0834264
167	567.9307326
168	567.808192
169	567.6789371
170	567.5488776
171	567.4408966
172	567.3510821
173	567.238716
174	567.1468622
175	567.0494406
176	566.9282898
177	566.8034486
178	566.6990427
179	566.5791137
180	566.491658
181	566.3878112
182	566.2565201
183	566.1155507
184	565.9858087
185	565.8576572
186	565.7612317
187	565.6577453
188	565.5395149
189	565.4107974
190	565.3073736
191	565.2265642
192	565.1715601
193	565.0666403
194	564.9677523
195	564.8673299
196	564.793297
197	564.7203245
198	564.5918674
199	564.4652919
200	564.4016788
201	564.3033459
202	564.2091693
203	564.1338455
204	564.0463208
205	563.941496
206	563.8116399
207	563.7436658
208	563.6416188
209	563.5715066
210	563.4512869
211	563.3315619
212	563.240653
213	563.1375359
214	563.0336434
215	562.9408906
216	562.8469245
217	562.7122829
218	562.6249483
219	562.5040553
220	562.3281574
221	562.255435
222	562.0671776
223	561.9376041
224	561.890461
225	561.7484608
226	561.6945839
227	561.6209494
228	561.555903
229	561.4577431
230	561.3915115
231	561.2846273
232	561.2110307
233	561.1134352
234	561.065356
235	561.0257014
236	560.8799981
237	560.7561925
238	560.6532992
239	560.5715785
240	560.4915017
241	560.3964047
242	560.2646918
243	560.1677545
244	560.0889858
245	560.0117327
246	559.9639212
247	559.873936
248	559.8251853
249	559.7294058
250	559.6748704
251	559.5712059
252	559.4973937
253	559.4648434
254	559.3339756
255	559.2610793
256	559.1657975
257	559.0596456
258	558.8504279
259	558.7588888
260	558.6730699
261	558.6121827
262	558.5479665
263	558.4772342
264	558.413882
265	558.3432171
266	558.283293
267	558.2170873
268	558.1367866
269	558.0695891
270	557.98209
271	557.9350434
272	557.8975511
273	557.8146459
274	557.7187654
275	557.6385095
276	557.407861
277	557.2948059
278	557.2444153
279	557.1896338
280	557.1230869
281	557.009993
282	556.9014793
283	556.8107565
284	556.7202515
285	556.5836162
286	556.5020074
287	556.4543533
288	556.3792374
289	556.2925063
290	556.1828208
291	556.115895
292	555.9804546
293	555.740057
294	555.6511484
295	555.5925527
296	555.5279746
297	555.4571819
