iter	Passed	Remaining
0	35	21211
1	62	18689
2	90	17921
3	116	17299
4	143	17056
5	187	18518
6	217	18430
7	250	18517
8	284	18678
9	322	19041
10	354	18991
11	384	18836
12	416	18798
13	445	18639
14	475	18539
15	504	18431
16	539	18498
17	577	18683
18	610	18670
19	641	18591
20	668	18442
21	698	18355
22	725	18210
23	756	18148
24	789	18163
25	827	18261
26	869	18457
27	906	18518
28	940	18520
29	975	18537
30	1009	18526
31	1041	18480
32	1080	18567
33	1112	18520
34	1146	18509
35	1172	18364
36	1197	18217
37	1221	18067
38	1246	17924
39	1272	17811
40	1305	17798
41	1338	17780
42	1371	17761
43	1403	17739
44	1436	17715
45	1470	17706
46	1499	17641
47	1529	17584
48	1554	17478
49	1579	17369
50	1604	17272
51	1629	17173
52	1655	17088
53	1681	17000
54	1707	16919
55	1732	16834
56	1758	16750
57	1784	16672
58	1809	16595
59	1835	16521
60	1861	16445
61	1886	16373
62	1913	16309
63	1941	16257
64	1968	16205
65	1995	16145
66	2023	16094
67	2050	16044
68	2078	15992
69	2104	15936
70	2131	15880
71	2158	15829
72	2185	15775
73	2211	15722
74	2239	15675
75	2266	15625
76	2293	15580
77	2320	15532
78	2354	15525
79	2380	15473
80	2407	15426
81	2433	15374
82	2457	15310
83	2482	15247
84	2505	15182
85	2530	15124
86	2554	15060
87	2578	15000
88	2603	14947
89	2627	14890
90	2652	14835
91	2676	14778
92	2700	14723
93	2725	14669
94	2749	14615
95	2774	14564
96	2798	14510
97	2823	14462
98	2847	14410
99	2873	14365
100	2897	14313
101	2921	14263
102	2945	14211
103	2969	14160
104	2992	14108
105	3016	14058
106	3043	14020
107	3070	13985
108	3097	13953
109	3124	13916
110	3150	13880
111	3176	13840
112	3201	13797
113	3224	13748
114	3250	13708
115	3274	13662
116	3298	13617
117	3322	13573
118	3347	13530
119	3372	13488
120	3396	13446
121	3420	13402
122	3445	13363
123	3470	13320
124	3494	13279
125	3519	13239
126	3544	13199
127	3568	13159
128	3594	13122
129	3617	13079
130	3642	13040
131	3668	13007
132	3694	12970
133	3721	12943
134	3748	12912
135	3775	12882
136	3802	12852
137	3830	12823
138	3857	12794
139	3885	12766
140	3912	12736
141	3941	12711
142	3968	12681
143	3994	12648
144	4021	12620
145	4048	12590
146	4076	12563
147	4104	12534
148	4131	12505
149	4158	12476
150	4186	12447
151	4214	12422
152	4243	12397
153	4271	12370
154	4298	12340
155	4326	12313
156	4354	12287
157	4381	12256
158	4409	12230
159	4437	12202
160	4464	12173
161	4492	12146
162	4518	12114
163	4543	12079
164	4567	12042
165	4593	12008
166	4616	11970
167	4640	11933
168	4665	11898
169	4690	11864
170	4714	11826
171	4737	11788
172	4762	11755
173	4786	11719
174	4810	11683
175	4834	11647
176	4858	11611
177	4882	11574
178	4906	11539
179	4930	11504
180	4954	11469
181	4978	11434
182	5004	11402
183	5028	11368
184	5052	11335
185	5077	11300
186	5101	11266
187	5125	11232
188	5150	11199
189	5174	11165
190	5199	11133
191	5226	11107
192	5254	11080
193	5282	11054
194	5309	11028
195	5337	11001
196	5362	10970
197	5387	10937
198	5411	10904
199	5436	10872
200	5461	10841
201	5486	10809
202	5510	10776
203	5535	10744
204	5558	10711
205	5584	10680
206	5612	10656
207	5660	10667
208	5692	10650
209	5721	10626
210	5764	10628
211	5806	10626
212	5840	10611
213	5875	10598
214	5910	10583
215	5944	10568
216	5979	10553
217	6022	10553
218	6064	10550
219	6101	10538
220	6133	10518
221	6166	10499
222	6196	10475
223	6230	10458
224	6260	10434
225	6295	10418
226	6330	10401
227	6362	10381
228	6391	10355
229	6419	10327
230	6447	10298
231	6476	10273
232	6503	10244
233	6531	10215
234	6559	10188
235	6587	10160
236	6613	10129
237	6636	10094
238	6660	10061
239	6685	10027
240	6709	9994
241	6739	9970
242	6768	9944
243	6795	9915
244	6822	9885
245	6849	9856
246	6875	9825
247	6900	9794
248	6925	9761
249	6949	9729
250	6973	9696
251	6997	9663
252	7022	9631
253	7046	9598
254	7070	9566
255	7096	9536
256	7127	9513
257	7157	9488
258	7185	9459
259	7209	9427
260	7235	9398
261	7262	9369
262	7289	9340
263	7316	9312
264	7346	9286
265	7375	9260
266	7402	9232
267	7429	9204
268	7459	9178
269	7492	9157
270	7521	9131
271	7546	9100
272	7573	9072
273	7602	9044
274	7627	9014
275	7650	8981
276	7675	8949
277	7699	8917
278	7723	8886
279	7747	8854
280	7772	8823
281	7796	8791
282	7823	8763
283	7850	8735
284	7878	8707
285	7905	8679
286	7933	8652
287	7960	8623
288	7988	8596
289	8016	8568
290	8042	8540
291	8070	8512
292	8099	8486
293	8125	8457
294	8153	8429
295	8182	8403
296	8208	8374
297	8234	8345
298	8259	8314
299	8286	8286
300	8336	8281
301	8384	8273
302	8426	8259
303	8467	8244
304	8502	8223
305	8535	8200
306	8567	8176
307	8597	8150
308	8626	8124
309	8657	8098
310	8683	8068
311	8709	8039
312	8733	8008
313	8759	7978
314	8783	7947
315	8810	7918
316	8836	7888
317	8861	7858
318	8884	7826
319	8909	7795
320	8934	7765
321	8959	7734
322	8981	7702
323	9006	7672
324	9031	7641
325	9054	7609
326	9078	7579
327	9104	7549
328	9129	7520
329	9153	7489
330	9177	7458
331	9201	7428
332	9225	7396
333	9250	7366
334	9273	7335
335	9297	7305
336	9329	7280
337	9385	7275
338	9436	7265
339	9486	7254
340	9512	7225
341	9548	7203
342	9586	7182
343	9619	7159
344	9654	7135
345	9699	7120
346	9731	7095
347	9774	7078
348	9809	7054
349	9841	7029
350	9874	7005
351	9911	6982
352	9949	6961
353	9985	6939
354	10020	6915
355	10054	6891
356	10090	6867
357	10125	6844
358	10164	6823
359	10200	6800
360	10235	6776
361	10297	6770
362	10342	6752
363	10384	6732
364	10420	6708
365	10465	6690
366	10511	6673
367	10557	6655
368	10596	6633
369	10651	6621
370	10692	6599
371	10736	6580
372	10765	6551
373	10794	6522
374	10823	6494
375	10856	6467
376	10884	6438
377	10917	6411
378	10965	6394
379	11002	6369
380	11031	6341
381	11079	6322
382	11125	6303
383	11156	6275
384	11187	6247
385	11221	6221
386	11253	6193
387	11284	6166
388	11317	6138
389	11354	6113
390	11386	6086
391	11417	6058
392	11446	6029
393	11491	6008
394	11542	5990
395	11587	5969
396	11624	5944
397	11659	5917
398	11697	5892
399	11730	5865
400	11767	5839
401	11801	5812
402	11843	5789
403	11875	5761
404	11915	5737
405	11958	5714
406	12011	5695
407	12057	5673
408	12108	5654
409	12143	5627
410	12177	5599
411	12209	5571
