iter	Passed	Remaining
0	172	172198
1	189	94626
2	200	66798
3	209	52200
4	218	43527
5	227	37651
6	235	33400
7	243	30214
8	252	27749
9	260	25778
10	268	24146
11	277	22828
12	285	21679
13	293	20691
14	301	19798
15	310	19076
16	318	18407
17	326	17825
18	334	17289
19	342	16806
20	351	16370
21	361	16049
22	369	15681
23	378	15376
24	385	15051
25	394	14776
26	402	14487
27	410	14264
28	419	14038
29	427	13824
30	435	13605
31	443	13419
32	452	13246
33	462	13134
34	473	13043
35	482	12917
36	493	12834
37	503	12755
38	512	12621
39	521	12516
40	530	12416
41	541	12354
42	552	12304
43	562	12220
44	572	12140
45	579	12018
46	589	11943
47	596	11836
48	606	11770
49	614	11680
50	623	11597
51	632	11525
52	641	11457
53	649	11380
54	657	11300
55	667	11250
56	675	11172
57	683	11106
58	691	11033
59	701	10986
60	709	10919
61	719	10879
62	726	10807
63	735	10752
64	742	10684
65	751	10634
66	759	10576
67	767	10523
68	775	10463
69	784	10419
70	792	10367
71	801	10326
72	809	10273
73	817	10232
74	825	10179
75	833	10137
76	841	10086
77	850	10047
78	857	9995
79	866	9963
80	874	9921
81	883	9890
82	891	9844
83	899	9809
84	907	9767
85	915	9729
86	922	9680
87	932	9666
88	941	9633
89	948	9595
90	957	9563
91	965	9531
92	973	9499
93	983	9481
94	991	9447
95	999	9412
96	1006	9372
97	1015	9344
98	1022	9304
99	1031	9285
100	1039	9252
101	1048	9231
102	1057	9206
103	1067	9192
104	1077	9184
105	1086	9166
106	1097	9157
107	1107	9150
108	1117	9132
109	1128	9134
110	1141	9145
111	1154	9153
112	1164	9139
113	1173	9122
114	1182	9100
115	1194	9101
116	1202	9074
117	1212	9065
118	1222	9050
119	1231	9034
120	1242	9023
121	1250	9000
122	1263	9005
123	1271	8985
124	1279	8959
125	1289	8941
126	1298	8924
127	1307	8904
128	1314	8876
129	1322	8851
130	1330	8824
131	1338	8799
132	1346	8774
133	1354	8753
134	1364	8740
135	1373	8723
136	1381	8702
137	1389	8678
138	1397	8653
139	1405	8634
140	1413	8611
141	1422	8592
142	1428	8563
143	1437	8546
144	1445	8524
145	1453	8504
146	1460	8476
147	1468	8455
148	1476	8430
149	1484	8409
150	1492	8390
151	1500	8372
152	1509	8356
153	1518	8339
154	1526	8321
155	1534	8303
156	1542	8282
157	1550	8263
158	1558	8243
159	1567	8229
160	1574	8206
161	1582	8184
162	1589	8164
163	1598	8146
164	1606	8131
165	1615	8115
166	1622	8093
167	1630	8076
168	1639	8059
169	1647	8044
170	1655	8026
171	1664	8011
172	1672	7994
173	1678	7969
174	1687	7957
175	1695	7936
176	1703	7921
177	1710	7900
178	1720	7889
179	1728	7873
180	1736	7857
